SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
0,AP,Andhra Pradesh,AP_Andhra Pradesh,Anantapur,176919,365,175449,1105,0,14,-126,140,0,0.0,2022-02-15 00:05:05.448234
1,AP,Andhra Pradesh,AP_Andhra Pradesh,Chittoor,271970,492,269491,1987,0,24,-99,122,1,0.0,2022-02-15 00:05:05.448234
2,AP,Andhra Pradesh,AP_Andhra Pradesh,East Godavari,315450,4869,309283,1298,0,108,-380,488,0,0.0,2022-02-15 00:05:05.448234
3,AP,Andhra Pradesh,AP_Andhra Pradesh,Guntur,202540,1246,200019,1275,0,62,-236,298,0,0.0,2022-02-15 00:05:05.448234
4,AP,Andhra Pradesh,AP_Andhra Pradesh,Krishna,136210,2990,131734,1486,0,66,-759,825,0,0.0,2022-02-15 00:05:05.448234
5,AP,Andhra Pradesh,AP_Andhra Pradesh,Kurnool,144152,339,142946,867,0,3,-74,77,0,0.0,2022-02-15 00:05:05.448234
6,AP,Andhra Pradesh,AP_Andhra Pradesh,Other Countries,434,0,434,0,0,0,0,0,0,0.0,2022-02-15 00:05:05.448234
7,AP,Andhra Pradesh,AP_Andhra Pradesh,Other States,2461,0,2461,0,0,0,0,0,0,0.0,2022-02-15 00:05:05.448234
8,AP,Andhra Pradesh,AP_Andhra Pradesh,Prakasam,155533,1668,152719,1146,0,32,-1550,1582,0,0.0,2022-02-15 00:05:05.448234
9,AP,Andhra Pradesh,AP_Andhra Pradesh,S.P.S. Nellore,164119,121,162909,1089,0,20,-187,207,0,0.0,2022-02-15 00:05:05.448234
10,AP,Andhra Pradesh,AP_Andhra Pradesh,Srikakulam,133888,185,132905,798,0,2,-71,73,0,0.0,2022-02-15 00:05:05.448234
11,AP,Andhra Pradesh,AP_Andhra Pradesh,Visakhapatnam,190408,371,188855,1182,0,33,-42,75,0,0.0,2022-02-15 00:05:05.448234
12,AP,Andhra Pradesh,AP_Andhra Pradesh,Vizianagaram,92164,252,91233,679,0,7,-23,30,0,0.0,2022-02-15 00:05:05.448234
13,AP,Andhra Pradesh,AP_Andhra Pradesh,West Godavari,192290,1508,189648,1134,0,56,-546,602,0,0.0,2022-02-15 00:05:05.448234
14,AP,Andhra Pradesh,AP_Andhra Pradesh,Y.S.R. Kadapa,134674,320,133702,652,0,7,-110,117,0,0.0,2022-02-15 00:05:05.448234
15,AR,Arunachal Pradesh,AR_Arunachal Pradesh,Anjaw,1127,22,1102,3,0,0,0,0,0,0.0,2022-02-14 21:55:34.752807
16,AR,Arunachal Pradesh,AR_Arunachal Pradesh,Changlang,4244,8,4214,22,0,1,-11,12,0,0.0,2022-02-14 21:55:34.752827
17,AR,Arunachal Pradesh,AR_Arunachal Pradesh,East Kameng,1215,5,1210,0,0,0,0,0,0,0.0,2022-02-14 21:55:34.752831
18,AR,Arunachal Pradesh,AR_Arunachal Pradesh,East Siang,3662,29,3615,18,0,5,-13,18,0,0.0,2022-02-14 21:55:34.752830
19,AR,Arunachal Pradesh,AR_Arunachal Pradesh,Kamle,579,12,567,0,0,1,-5,6,0,0.0,2022-02-14 21:55:34.752832
20,AR,Arunachal Pradesh,AR_Arunachal Pradesh,Kra Daadi,270,0,270,0,0,0,0,0,0,0.0,2022-02-14 21:55:34.752835
21,AR,Arunachal Pradesh,AR_Arunachal Pradesh,Kurung Kumey,526,0,525,1,0,0,0,0,0,0.0,2022-02-14 21:55:34.752836
22,AR,Arunachal Pradesh,AR_Arunachal Pradesh,Lepa Rada,1024,19,1002,3,0,1,0,1,0,0.0,2022-02-14 21:55:34.752838
23,AR,Arunachal Pradesh,AR_Arunachal Pradesh,Lohit,3385,22,3334,29,0,4,-15,19,0,0.0,2022-02-14 21:55:34.752839
24,AR,Arunachal Pradesh,AR_Arunachal Pradesh,Longding,910,23,885,2,0,8,3,5,0,0.0,2022-02-14 21:55:34.752840
25,AR,Arunachal Pradesh,AR_Arunachal Pradesh,Lower Dibang Valley,2833,21,2800,12,0,3,1,2,0,0.0,2022-02-14 21:55:34.752842
26,AR,Arunachal Pradesh,AR_Arunachal Pradesh,Lower Siang,829,1,820,8,0,0,-1,1,0,0.0,2022-02-14 21:55:34.752843
27,AR,Arunachal Pradesh,AR_Arunachal Pradesh,Lower Subansiri,3570,88,3467,15,0,5,-14,19,0,0.0,2022-02-14 21:55:34.752844
28,AR,Arunachal Pradesh,AR_Arunachal Pradesh,Namsai,2676,20,2639,17,0,1,-12,13,0,0.0,2022-02-14 21:55:34.752846
29,AR,Arunachal Pradesh,AR_Arunachal Pradesh,Pakke Kessang,496,1,495,0,0,0,0,0,0,0.0,2022-02-14 21:55:34.752847
30,AR,Arunachal Pradesh,AR_Arunachal Pradesh,Papum Pare,22005,139,21762,104,0,14,-8,22,0,0.0,2022-02-14 21:55:34.752824
31,AR,Arunachal Pradesh,AR_Arunachal Pradesh,Shi Yomi,305,0,305,0,0,0,-1,1,0,0.0,2022-02-14 21:55:34.752848
32,AR,Arunachal Pradesh,AR_Arunachal Pradesh,Siang,440,3,434,3,0,0,0,0,0,0.0,2022-02-14 21:55:34.752849
33,AR,Arunachal Pradesh,AR_Arunachal Pradesh,Tawang,2883,25,2837,21,0,8,-4,12,0,0.0,2022-02-14 21:55:34.752851
34,AR,Arunachal Pradesh,AR_Arunachal Pradesh,Tirap,1257,5,1247,5,0,0,-3,3,0,0.0,2022-02-14 21:55:34.752852
35,AR,Arunachal Pradesh,AR_Arunachal Pradesh,Upper Dibang Valley,392,12,378,2,0,4,3,1,0,0.0,2022-02-14 21:55:34.752828
36,AR,Arunachal Pradesh,AR_Arunachal Pradesh,Upper Siang,1153,24,1128,1,0,5,3,2,0,0.0,2022-02-14 21:55:34.752854
37,AR,Arunachal Pradesh,AR_Arunachal Pradesh,Upper Subansiri,2018,5,2006,7,0,0,0,0,0,0.0,2022-02-14 21:55:34.752855
38,AR,Arunachal Pradesh,AR_Arunachal Pradesh,West Kameng,4237,48,4174,15,0,1,-14,15,0,0.0,2022-02-14 21:55:34.752856
39,AR,Arunachal Pradesh,AR_Arunachal Pradesh,West Siang,2030,7,2017,6,0,1,1,0,0,0.0,2022-02-14 21:55:34.752857
40,AS,Assam,AS_Assam,Airport Quarantine,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
41,AS,Assam,AS_Assam,Baksa,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
42,AS,Assam,AS_Assam,Barpeta,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
43,AS,Assam,AS_Assam,Biswanath,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
44,AS,Assam,AS_Assam,Bongaigaon,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
45,AS,Assam,AS_Assam,Cachar,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
46,AS,Assam,AS_Assam,Charaideo,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
47,AS,Assam,AS_Assam,Chirang,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
48,AS,Assam,AS_Assam,Darrang,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
49,AS,Assam,AS_Assam,Dhemaji,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
50,AS,Assam,AS_Assam,Dhubri,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
51,AS,Assam,AS_Assam,Dibrugarh,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
52,AS,Assam,AS_Assam,Dima Hasao,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
53,AS,Assam,AS_Assam,Goalpara,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
54,AS,Assam,AS_Assam,Golaghat,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
55,AS,Assam,AS_Assam,Hailakandi,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
56,AS,Assam,AS_Assam,Hojai,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
57,AS,Assam,AS_Assam,Jorhat,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
58,AS,Assam,AS_Assam,Kamrup,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
59,AS,Assam,AS_Assam,Kamrup Metropolitan,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
60,AS,Assam,AS_Assam,Karbi Anglong,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
61,AS,Assam,AS_Assam,Karimganj,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
62,AS,Assam,AS_Assam,Kokrajhar,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
63,AS,Assam,AS_Assam,Lakhimpur,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
64,AS,Assam,AS_Assam,Majuli,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
65,AS,Assam,AS_Assam,Morigaon,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
66,AS,Assam,AS_Assam,Nagaon,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
67,AS,Assam,AS_Assam,Nalbari,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
68,AS,Assam,AS_Assam,Other State,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
69,AS,Assam,AS_Assam,Sivasagar,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
70,AS,Assam,AS_Assam,Sonitpur,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
71,AS,Assam,AS_Assam,South Salmara Mankachar,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
72,AS,Assam,AS_Assam,Tinsukia,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
73,AS,Assam,AS_Assam,Udalguri,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
74,AS,Assam,AS_Assam,Unknown,723693.0,3639,713444.0,6610.0,0,198.0,-207.0,400.0,5.0,0.0,2022-02-15 12:39:00.600243
75,AS,Assam,AS_Assam,West Karbi Anglong,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2022-02-15 12:39:00.600243
76,BR,Bihar,BR_Bihar,Araria,16098,11,15947,140,0,0,0,0,0,0.0,2022-02-14 21:55:42.187982
77,BR,Bihar,BR_Bihar,Arwal,8207,6,8092,109,0,0,0,0,0,0.0,2022-02-14 21:55:42.187995
